"Date","Video Views","Profile Views","Likes","Comments","Shares"
"4 Ιανουαρίου","0","0","0","0","0"
"5 Ιανουαρίου","0","0","0","0","0"
"6 Ιανουαρίου","0","0","0","0","0"
"7 Ιανουαρίου","0","0","0","0","0"
"8 Ιανουαρίου","8","0","0","0","0"
"9 Ιανουαρίου","0","0","0","0","0"
"10 Ιανουαρίου","0","0","0","0","0"
"11 Ιανουαρίου","0","0","0","0","0"
"12 Ιανουαρίου","199","5","4","0","2"
"13 Ιανουαρίου","144","3","2","0","0"
"14 Ιανουαρίου","518","4","11","0","0"
"15 Ιανουαρίου","399","17","28","0","0"
"16 Ιανουαρίου","99","9","11","0","0"
"17 Ιανουαρίου","39","0","1","0","0"
"18 Ιανουαρίου","40","5","8","0","0"
"19 Ιανουαρίου","28","0","2","0","0"
"20 Ιανουαρίου","20","1","3","0","0"
"21 Ιανουαρίου","7","0","0","0","0"
"22 Ιανουαρίου","13","0","0","0","0"
"23 Ιανουαρίου","6","0","0","0","0"
"24 Ιανουαρίου","8","0","0","0","0"
"25 Ιανουαρίου","19","1","1","0","0"
"26 Ιανουαρίου","13","0","1","0","1"
"27 Ιανουαρίου","7","1","0","0","0"
"28 Ιανουαρίου","2","0","0","0","0"
"29 Ιανουαρίου","11","1","1","0","0"
"30 Ιανουαρίου","10","2","1","0","0"
"31 Ιανουαρίου","1","0","0","0","0"
"1 Φεβρουαρίου","19","3","0","0","1"
"2 Φεβρουαρίου","12","2","0","0","0"
"3 Φεβρουαρίου","6","0","0","0","0"
"4 Φεβρουαρίου","14","1","0","0","0"
"5 Φεβρουαρίου","0","1","0","0","0"
"6 Φεβρουαρίου","2","0","0","0","0"
"7 Φεβρουαρίου","16","1","0","0","0"
"8 Φεβρουαρίου","9","0","0","0","0"
"9 Φεβρουαρίου","2","0","0","0","0"
"10 Φεβρουαρίου","0","0","0","0","0"
"11 Φεβρουαρίου","4","0","0","0","0"
"12 Φεβρουαρίου","6","0","0","0","0"
"13 Φεβρουαρίου","1","0","0","0","0"
"14 Φεβρουαρίου","2","0","0","0","0"
"15 Φεβρουαρίου","10","1","0","0","0"
"16 Φεβρουαρίου","5","0","0","0","0"
"17 Φεβρουαρίου","3","0","0","0","0"
"18 Φεβρουαρίου","3","0","0","0","0"
"19 Φεβρουαρίου","215","7","12","1","0"
"20 Φεβρουαρίου","418","10","22","1","0"
"21 Φεβρουαρίου","276","4","18","2","7"
"22 Φεβρουαρίου","128","3","6","0","0"
"23 Φεβρουαρίου","399","8","23","0","0"
"24 Φεβρουαρίου","141","4","16","1","0"
"25 Φεβρουαρίου","22","0","0","0","0"
"26 Φεβρουαρίου","26","1","1","0","0"
"27 Φεβρουαρίου","14","1","0","0","0"
"28 Φεβρουαρίου","6","0","0","0","0"
"1 Μαρτίου","23","1","3","0","0"
"2 Μαρτίου","19462","291","1675","28","209"
"3 Μαρτίου","70723","1256","10180","126","1268"
"4 Μαρτίου","30104","543","4289","163","603"
"5 Μαρτίου","18789","295","2807","54","420"
"6 Μαρτίου","7324","120","1086","24","108"
"7 Μαρτίου","81097","1118","8901","180","969"
"8 Μαρτίου","49970","748","6310","137","754"
"9 Μαρτίου","51544","680","6833","124","601"
"10 Μαρτίου","23328","326","3188","73","265"
"11 Μαρτίου","15861","242","2380","39","181"
"12 Μαρτίου","12542","195","1917","28","147"
"13 Μαρτίου","13000","212","1868","23","136"
"14 Μαρτίου","9594","133","1335","21","127"
"15 Μαρτίου","30640","454","3920","85","262"